H,multiplier,lower,upper,model,seasonal_control,impulse,response,tag,p_used,ci
4,8.280084538956206e-4,-0.04229860423306227,0.0448786760230989,no_seasonal_control,FALSE,v,ga,baseline_mean_winsor,4,0.95
8,0.008761442652394492,-0.07052258342605934,0.08749091935474879,no_seasonal_control,FALSE,v,ga,baseline_mean_winsor,4,0.95
12,0.012278920391454182,-0.09481199654480275,0.11684177518713086,no_seasonal_control,FALSE,v,ga,baseline_mean_winsor,4,0.95
