h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used,cum_irf,cum_lower,cum_upper
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0,0,0
1,0.0020712598932650325,-0.0034887654787836863,0.005776012225001167,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.0020712598932650325,-0.0034887654787836863,0.005776012225001167
2,0.004472916572942152,-7.493084807416559e-4,0.007467776192473302,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.0065441764662071845,-0.004238073959525342,0.013243788417474468
3,-0.0023617365740849446,-0.006165574279995138,0.0020189364956235295,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.004182439892122239,-0.010403648239520481,0.015262724913097998
4,0.0026257649118016655,-7.630315786920586e-4,0.00478825422601684,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.006808204803923905,-0.011166679818212538,0.020050979139114838
5,0.0013722915594755686,-0.0015105681213616311,0.003381034169676724,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.008180496363399473,-0.012677247939574171,0.023432013308791563
6,0.0023692613466796174,-6.708433699235992e-4,0.004331481254836225,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.010549757710079091,-0.013348091309497769,0.027763494563627786
7,-3.2788004805455855e-4,-0.0026087448989379927,0.0017864996048363412,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.010221877662024533,-0.015956836208435764,0.029549994168464128
8,0.004934034878632154,0.0018577640668069832,0.006232591343120359,TRUE,positivo,positivo,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.015155912540656687,-0.014099072141628779,0.03578258551158449
9,0.0010203911086865962,-0.001168495709614761,0.002210753125483229,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.016176303649343284,-0.01526756785124354,0.03799333863706772
10,0.0014630740259544825,-6.536092879951571e-4,0.0022950886849774886,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.017639377675297767,-0.0159211771392387,0.040288427322045205
11,-0.0013012154901347521,-0.0025833936410734402,1.2897479194531723e-4,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.016338162185163013,-0.018504570780312136,0.040417402113990523
12,0.002348495052960596,3.258346812237237e-4,0.002834692730637557,TRUE,positivo,positivo,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.01868665723812361,-0.018178736099088412,0.04325209484462808
