h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used,cum_irf,cum_lower,cum_upper
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0,0,0
1,0.0020712598932650325,-0.006367477414926106,0.008824554666767931,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.0020712598932650325,-0.006367477414926106,0.008824554666767931
2,0.004472916572942152,-0.0037791106330401242,0.010050726312151299,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.0065441764662071845,-0.01014658804796623,0.01887528097891923
3,-0.0023617365740849446,-0.008737621140837632,0.004573973342397824,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.004182439892122239,-0.018884209188803864,0.023449254321317052
4,0.0026257649118016655,-0.002701961480304041,0.006676918832287917,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.006808204803923905,-0.021586170669107903,0.03012617315360497
5,0.0013722915594755686,-0.0031663283303949553,0.0049671168774008114,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.008180496363399473,-0.02475249899950286,0.03509329003100578
6,0.0023692613466796174,-0.002425353666937423,0.0061383440833029795,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.010549757710079091,-0.027177852666440284,0.04123163411430876
7,-3.2788004805455855e-4,-0.0041128952362565075,0.0036073947701013905,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.010221877662024533,-0.03129074790269679,0.04483902888441015
8,0.004934034878632154,7.272894146652406e-4,0.008005422062105319,TRUE,positivo,positivo,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.015155912540656687,-0.03056345848803155,0.05284445094651547
9,0.0010203911086865962,-0.0021646027653016205,0.0036527248151707985,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.016176303649343284,-0.03272806125333317,0.056497175761686266
10,0.0014630740259544825,-0.001631144231787405,0.0032874162089008324,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.017639377675297767,-0.03435920548512057,0.0597845919705871
11,-0.0013012154901347521,-0.0036596885143603533,0.0011051838585853084,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.016338162185163013,-0.03801889399948093,0.06088977582917241
12,0.002348495052960596,-3.0605176609938456e-4,0.003885212884734129,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.01868665723812361,-0.038324945765580314,0.06477498871390654
